species,decimalLongitude,decimalLatitude
Gentianella campestris,13.27073,57.38797
Gentianella campestris,13.24203,66.662104
Gentianella campestris,13.224728,66.7218
Gentianella campestris,13.212367,66.516969
Gentianella campestris,13.247473,66.719446
Gentianella campestris,17.38033,59.98896
Gentianella campestris,11.769987,65.841767
Gentianella campestris,11.763726,65.84673
Gentianella campestris,11.903729,65.853125
Gentianella campestris,13.065897,65.942374
Gentianella campestris,12.528974,65.889065
Gentianella campestris,14.552582,67.212607
Gentianella campestris,12.442556,65.866542
Gentianella campestris,12.45807,65.954825
Gentianella campestris,11.270461,60.550275
Gentianella campestris,14.581085,67.374957
Gentianella campestris,13.786885,66.689007
Gentianella campestris,11.402343,60.7165
Gentianella campestris,11.615585,59.305646
Gentianella campestris,15.04087,67.27323
Gentianella campestris,13.057022,66.637547
Gentianella campestris,16.177437,68.322075
Gentianella campestris,13.38497,66.013238
Gentianella campestris,13.078716,66.152926
Gentianella campestris,16.214977,68.325825
Gentianella campestris,12.474186,65.873439
Gentianella campestris,17.38223,68.434
Gentianella campestris,16.237911,68.325055
Gentianella campestris,14.503722,67.333431
Gentianella campestris,12.495799,65.876802
Gentianella campestris,18.24441,59.81821
Gentianella campestris,14.415436,66.979188
Gentianella campestris,14.182431,66.789624
Gentianella campestris,15.310472,67.000843
Gentianella campestris,14.398134,67.180106
Gentianella campestris,15.177261,67.091579
Gentianella campestris,14.394928,66.937576
Gentianella campestris,11.867679,65.70464
Gentianella campestris,12.955117,66.228968
Gentianella campestris,14.998865,66.725318
Gentianella campestris,14.753095,67.416881
Gentianella campestris,14.174211,66.785956
Gentianella campestris,13.381781,66.00757
Gentianella campestris,14.40754,67.183872
Gentianella campestris,11.7047,62.6406
Gentianella campestris,13.7829,66.1608
Gentianella campestris,11.2229,63.1973
Gentianella campestris,16.15155,59.20513
Gentianella campestris,14.9876,57.84
Gentianella campestris,17.41486,59.50683
Gentianella campestris,18.3639,59.91419
Gentianella campestris,17.61276,60.13426
Gentianella campestris,15.18313,58.19487
Gentianella campestris,15.45516,57.03048
Gentianella campestris,15.04083,60.30636
Gentianella campestris,12.4373,63.25941
Gentianella campestris,12.95017,63.14812
Gentianella campestris,12.92514,63.15104
Gentianella campestris,14.19583,62.50993
Gentianella campestris,12.97386,63.4009
Gentianella campestris,15.15682,61.13321
Gentianella campestris,14.03786,63.40022
Gentianella campestris,14.32,63.32185
Gentianella campestris,17.54854,58.97132
Gentianella campestris,15.53552,56.65014
Gentianella campestris,13.08547,63.40997
Gentianella campestris,12.822095,67.834956
Gentianella campestris,12.992069,68.009654
Gentianella campestris,12.850046,67.851995
Gentianella campestris,13.089388,68.110509
Gentianella campestris,12.835969,67.845824
Gentianella campestris,12.85681,67.859128
Gentianella campestris,13.097733,68.078752
Gentianella campestris,13.077586,68.06811
Gentianella campestris,12.87226,67.845438
Gentianella campestris,12.862028,67.852026
Gentianella campestris,12.871216,67.855583
Gentianella campestris,13.334381,66.003241
Gentianella campestris,11.395826,62.449155
Gentianella campestris,12.79817,59.9172
Gentianella campestris,14.8613,59.93381
Gentianella campestris,12.72333,59.95852
Gentianella campestris,18.2055,59.77738
Gentianella campestris,18.171,59.80536
Gentianella campestris,18.33413,59.72234
Gentianella campestris,15.06709,58.57515
Gentianella campestris,11.25475,58.41699
Gentianella campestris,18.14162,63.3925
Gentianella campestris,14.97933,59.47053
Gentianella campestris,14.80138,59.53879
Gentianella campestris,13.39092,55.65152
Gentianella campestris,15.43107,57.71392
Gentianella campestris,15.56033,57.96543
Gentianella campestris,15.09471,58.14159
Gentianella campestris,16.6667,58.38899
Gentianella campestris,14.88358,58.14275
Gentianella campestris,14.48881,63.33795
Gentianella campestris,14.70228,63.19424
Gentianella campestris,14.76021,63.13618
Gentianella campestris,14.99292,62.92885
Gentianella campestris,15.10989,62.88613
Gentianella campestris,15.00698,62.94019
Gentianella campestris,15.05243,63.41785
Gentianella campestris,14.70391,63.18055
Gentianella campestris,14.78927,63.13624
Gentianella campestris,14.45656,63.24282
Gentianella campestris,15.15494,62.94858
Gentianella campestris,14.76981,63.12809
Gentianella campestris,14.81542,63.1248
Gentianella campestris,14.82233,63.09404
Gentianella campestris,14.7218,63.16974
Gentianella campestris,15.90308,62.8534
Gentianella campestris,13.88207,62.43542
Gentianella campestris,13.82815,63.40498
Gentianella campestris,15.60209,63.30366
Gentianella campestris,15.79594,60.03199
Gentianella campestris,12.81583,59.92247
Gentianella campestris,13.60014,57.97191
Gentianella campestris,11.79523,57.56699
Gentianella campestris,15.84524,57.18406
Gentianella campestris,15.95195,56.98742
Gentianella campestris,16.56578,59.91046
Gentianella campestris,14.79773,63.13986
Gentianella campestris,17.33521,60.58036
Gentianella campestris,17.35302,60.59907
Gentianella campestris,17.34126,60.60521
Gentianella campestris,14.42749,57.8066
Gentianella campestris,13.61364,58.44005
Gentianella campestris,14.592216,67.277849
Gentianella campestris,14.472811,67.233123
Gentianella campestris,14.405887,67.220062
Gentianella campestris,14.059146,67.153254
Gentianella campestris,14.599357,67.402104
Gentianella campestris,14.634463,67.287153
Gentianella campestris,14.068776,67.142275
Gentianella campestris,14.085323,67.158509
Gentianella campestris,14.05761,57.87486
Gentianella campestris,14.514951,67.340658
Gentianella campestris,11.751222,61.696978
Gentianella campestris,14.249643,66.760838
Gentianella campestris,11.745922,59.14118
Gentianella campestris,14.649277,67.019617
Gentianella campestris,14.495287,67.02952
Gentianella campestris,13.877534,67.38592
Gentianella campestris,11.055719,63.196021
Gentianella campestris,14.620081,67.282463
Gentianella campestris,12.05469,62.348726
Gentianella campestris,14.443679,66.956596
Gentianella campestris,14.03756,66.773099
Gentianella campestris,14.37291,66.921884
Gentianella campestris,15.300896,66.934455
Gentianella campestris,16.516551,69.0547
Gentianella campestris,14.233168,66.762344
Gentianella campestris,14.745962,67.080891
Gentianella campestris,14.22023,63.55344
Gentianella campestris,16.71256,59.34512
Gentianella campestris,14.4265,57.81404
Gentianella campestris,11.6288,62.3348
Gentianella campestris,11.9142,61.8041
Gentianella campestris,14.9668,57.95683
Gentianella campestris,17.20624,62.58893
Gentianella campestris,16.27385,58.59887
Gentianella campestris,14.88534,57.78794
Gentianella campestris,14.56728,63.27867
Gentianella campestris,13.19099,63.25947
Gentianella campestris,14.89013,63.40081
Gentianella campestris,14.8408,63.09476
Gentianella campestris,15.11624,62.96416
Gentianella campestris,14.9037,63.11595
Gentianella campestris,14.77236,63.41729
Gentianella campestris,16.31485,58.10429
Gentianella campestris,17.5914,60.55694
Gentianella campestris,17.59011,60.56683
Gentianella campestris,15.24982,66.93685
Gentianella campestris,15.23691,66.93619
Gentianella campestris,14.05155,67.12133
Gentianella campestris,14.01306,67.16305
Gentianella campestris,14.94003,67.18388
Gentianella campestris,14.35857,67.20402
Gentianella campestris,15.13403,67.03304
Gentianella campestris,15.15302,67.03685
Gentianella campestris,14.87148,67.54992
Gentianella campestris,14.69521,67.49106
