species,decimalLongitude,decimalLatitude
Gentianella campestris,10.396356,61.062521
Gentianella campestris,6.767683,60.30354
Gentianella campestris,14.090902,66.789068
Gentianella campestris,14.451441,67.171021
Gentianella campestris,14.850921,67.001005
Gentianella campestris,14.581777,67.020845
Gentianella campestris,9.704195,61.010411
Gentianella campestris,8.086643,61.667981
Gentianella campestris,10.208248,61.039549
Gentianella campestris,12.171346,66.544538
Gentianella campestris,14.577591,67.353501
Gentianella campestris,9.172608,61.681083
Gentianella campestris,12.160108,66.524556
Gentianella campestris,14.60322,67.351771
Gentianella campestris,9.805183,59.644666
Gentianella campestris,9.011189,61.564848
Gentianella campestris,16.295996,68.087938
Gentianella campestris,15.502191,67.135068
Gentianella campestris,10.896241,62.192933
Gentianella campestris,6.480878,60.347706
Gentianella campestris,15.49787,67.205407
Gentianella campestris,8.342483,59.457189
Gentianella campestris,9.015187,61.646807
Gentianella campestris,14.308734,66.828254
Gentianella campestris,10.033993,62.427878
Gentianella campestris,8.984141,61.827239
Gentianella campestris,8.984249,61.623108
Gentianella campestris,14.168085,66.780003
Gentianella campestris,14.460235,67.036043
Gentianella campestris,5.773913,58.52879
Gentianella campestris,10.489026,61.145327
Gentianella campestris,9.588977,60.89966
Gentianella campestris,14.711629,67.238979
Gentianella campestris,9.640899,61.378805
Gentianella campestris,9.29494,61.998445
Gentianella campestris,14.655592,67.367906
Gentianella campestris,14.126637,66.823874
Gentianella campestris,7.874102,62.515815
Gentianella campestris,14.991589,67.920941
Gentianella campestris,8.866291,61.738044
Gentianella campestris,14.210216,66.781161
Gentianella campestris,11.310517,63.837375
Gentianella campestris,8.755358,61.473364
Gentianella campestris,9.035794,61.665653
Gentianella campestris,9.555559,60.903522
Gentianella campestris,9.668154,62.771265
Gentianella campestris,9.028769,61.813579
Gentianella campestris,9.672349,62.084424
Gentianella campestris,9.324962,63.660732
Gentianella campestris,13.966961,67.426997
Gentianella campestris,10.05125,62.442876
Gentianella campestris,14.634041,67.010073
Gentianella campestris,15.515971,67.251279
Gentianella campestris,14.139545,66.780435
Gentianella campestris,9.326561,62.743204
Gentianella campestris,6.155741,60.419925
Gentianella campestris,20.423674,70.173107
Gentianella campestris,7.164738,59.807965
Gentianella campestris,9.051631,61.794857
Gentianella campestris,10.766497,60.065566
Gentianella campestris,8.974888,62.149286
Gentianella campestris,16.334768,68.005006
Gentianella campestris,10.01803,59.720466
Gentianella campestris,9.601086,61.014185
Gentianella campestris,8.864009,61.519174
Gentianella campestris,15.596505,67.475396
Gentianella campestris,9.724119,61.533568
Gentianella campestris,9.00783,61.637292
Gentianella campestris,9.103195,61.676983
Gentianella campestris,10.10849,61.277351
Gentianella campestris,12.318211,66.370032
Gentianella campestris,8.049139,61.64225
Gentianella campestris,10.135197,61.090496
Gentianella campestris,9.062456,61.683861
Gentianella campestris,18.035287,69.600824
Gentianella campestris,9.133342,61.690904
Gentianella campestris,14.255096,66.834266
Gentianella campestris,15.539929,67.35202
Gentianella campestris,10.296993,61.115482
Gentianella campestris,9.95893,61.170565
Gentianella campestris,9.548633,60.917009
Gentianella campestris,8.944678,61.602535
Gentianella campestris,18.56682,70.048378
Gentianella campestris,9.026721,61.011734
Gentianella campestris,11.450933,63.629032
Gentianella campestris,8.844471,61.488436
Gentianella campestris,9.075338,61.75978
Gentianella campestris,9.107282,61.780427
Gentianella campestris,10.094063,61.300305
Gentianella campestris,10.137452,61.289458
Gentianella campestris,9.117164,61.859773
Gentianella campestris,16.5541,68.528841
Gentianella campestris,9.689866,61.363086
Gentianella campestris,11.761112,62.68717
Gentianella campestris,14.588532,66.987537
Gentianella campestris,13.883355,66.938625
Gentianella campestris,14.203263,66.772309
Gentianella campestris,9.080755,61.827273
Gentianella campestris,10.078478,61.103999
Gentianella campestris,7.679167,61.527453
Gentianella campestris,22.239466,70.63823
Gentianella campestris,9.022041,61.716828
Gentianella campestris,14.468221,67.143269
Gentianella campestris,5.882168,58.777441
Gentianella campestris,8.100387,62.322033
Gentianella campestris,9.57075,59.537949
Gentianella campestris,8.855502,61.527963
Gentianella campestris,16.457585,68.541684
Gentianella campestris,10.288872,62.790001
Gentianella campestris,10.543589,63.431229
Gentianella campestris,13.252244,66.615484
Gentianella campestris,8.612463,59.570773
Gentianella campestris,16.689081,68.365427
Gentianella campestris,14.637068,67.42182
Gentianella campestris,13.79286,63.41806
Gentianella campestris,14.029,62.50478
Gentianella campestris,14.90743,58.29428
Gentianella campestris,17.54038,60.63181
Gentianella campestris,17.59762,60.63411
Gentianella campestris,17.52212,60.53845
Gentianella campestris,10.2305,62.1729
Gentianella campestris,17.42813,60.57126
Gentianella campestris,18.81806,60.10649
Gentianella campestris,18.75506,59.9925
Gentianella campestris,18.79665,59.93294
Gentianella campestris,18.48464,59.62964
Gentianella campestris,18.86409,59.90228
Gentianella campestris,18.01312,59.65167
Gentianella campestris,16.51928,60.43158
Gentianella campestris,14.6987,58.17049
Gentianella campestris,16.94212,58.48876
Gentianella campestris,18.34442,59.55813
Gentianella campestris,18.34659,59.58683
Gentianella campestris,17.64981,59.57065
Gentianella campestris,14.56778,57.66621
Gentianella campestris,14.57814,57.65733
Gentianella campestris,15.04158,57.84505
Gentianella campestris,14.33558,57.89631
Gentianella campestris,14.72969,57.63087
Gentianella campestris,14.54564,57.62828
Gentianella campestris,16.11216,57.60635
Gentianella campestris,14.94045,57.84889
Gentianella campestris,15.41676,57.56213
Gentianella campestris,14.65334,57.9795
Gentianella campestris,16.12915,57.35175
Gentianella campestris,14.99613,57.91929
Gentianella campestris,14.65438,57.68319
Gentianella campestris,15.56185,57.602
Gentianella campestris,16.15304,57.50658
Gentianella campestris,14.7774,58.07395
Gentianella campestris,14.55958,57.90499
Gentianella campestris,14.28505,57.81489
Gentianella campestris,16.10084,57.65307
Gentianella campestris,15.96506,57.62818
Gentianella campestris,14.21915,57.70632
